Note: You need to format the file as follows:
-> resize the rows in order to see all data properly
-> replace all "Â" with ""
-> replace all the "or ###end" with ""
-> copy data into empty col. from another col. if required
-> sort the data if required
-> delete all rows that are empty or not relevant
-> highlight (font, color, etc. ) the headlines or title rows if usefull

ModelicaML (UML Profile);
Profile Version: 0.1.11;

Which ModelicaML stereotypes can I apply to which UML meta-classes?
To a UML ... ; you can apply the ModelicaML stereotype ...;
FunctionBehavior;«Function»;
Class;«Block»;
Class;«Model»;
Class;«ModelicaPackage»;
Class;«Connector»;
Class;«Record»;
PrimitiveType;«Type»;
Class;«CalculationModel»;
Enumeration;«ModelicaEnumeration»;
Class;«ModelicaClass»;
Class;«Operator»;
Class;«ModelicaModelReference»;
Property;«Component»;
Port;«ConnectionPort»;
Property;«Variable»;
Connector;«Connection»;
Parameter;«FunctionArgument»;
Property;«CalculatedProperty»;
OpaqueBehavior;«Algorithm(Code)»;
OpaqueBehavior;«Equations(Code)»;
DecisionNode;«If»;
DecisionNode;«When»;
Activity;«ConditionalAlgorithm(Diagram)»;
Activity;«ConditionalEquations(Diagram)»;
OpaqueAction;«Equations(CodeInDiagram)»;
OpaqueAction;«AlgorithmStatements(CodeInDiagram)»;
Constraint;«Assert»;
StateMachine;«ModelicaMLStateMachine»;
ControlFlow or Transition;«StateDependency»;
Transition or ControlFlow or Region;«ExecutionOrderPriority»;
Transition;«StateTransitionSpecification»;
State or StateMachine;«StateSpecification»;
StateMachine;«AdditionalIncludes»;
Generalization;«TypeRelation»;
Generalization;«ExtendsRelation»;
Dependency;«RedeclareRelation»;
Dependency;«ConstrainedByRelation»;
Dependency;«PartialDerivativeOfFunctionRelation»;
Dependency;«Import»;
Class;«Requirement»;
Property;«RequirementInstance»;
NamedElement;«Traceability»;
Class;«Simulation»;
Property;«UserInteractive»;
StateMachine or OpaqueBehavior or Activity;«ExcludeFromCGIfUserInteractive»;
Element;«CodeGeneration»;
Comment;«Annotation(Documentation)»;
Comment;«Annotation(CodeGeneration)»;
Comment;«Annotation(SimulationExperiment)»;
Comment;«Annotation»;
Comment;«Annotation(VersionHandling)»;
Comment;«Annotation(Icon)»;
Package;«TestSuite»;
Class;«TestScenario»;
Dependency;«UsedToVerify»;
Dependency;«Includes»;
Dependency;«Requires»;
Class;«Test»;
Dependency;«RequiredFor»;
Class;«ValueMediatorsContainer»;
Property;«ValueClient»;
Property;«ValueMediator»;
Property or State;«ValueProvider»;
Dependency;«ObtainsValueFrom»;
Dependency;«ProvidesValueFor»;

Which UML elements should I create in order to represent a Modelica ... ?;
In order to create a Modelica ...; create a UML ...; and apply the ModelicaML Stereotype ...;
Function;FunctionBehavior;«Function»;
Block;Class;«Block»;
Model;Class;«Model»;
Package;Class;«ModelicaPackage»;
Connector;Class;«Connector»;
Record;Class;«Record»;
Type;PrimitiveType;«Type»;
CalculationModel;Class;«CalculationModel»;
Enumeration;Enumeration;«ModelicaEnumeration»;
Class;Class;«ModelicaClass»;
Operator;Class;«Operator»;
ModelReference;Class;«ModelicaModelReference»;
Component;Property;«Component»;
ConnectionPort;Port;«ConnectionPort»;
Variable;Property;«Variable»;
Connection;Connector;«Connection»;
FunctionArgument;Parameter;«FunctionArgument»;
CalculatedProperty;Property;«CalculatedProperty»;
Algorithm(Code);OpaqueBehavior;«Algorithm(Code)»;
Equations(Code);OpaqueBehavior;«Equations(Code)»;
If;DecisionNode;«If»;
When;DecisionNode;«When»;
ConditionalAlgorithm(Diagram);Activity;«ConditionalAlgorithm(Diagram)»;
ConditionalEquations(Diagram);Activity;«ConditionalEquations(Diagram)»;
Equations(CodeInDiagram);OpaqueAction;«Equations(CodeInDiagram)»;
AlgorithmStatements(CodeInDiagram);OpaqueAction;«AlgorithmStatements(CodeInDiagram)»;
Assert;Constraint;«Assert»;
MLStateMachine;StateMachine;«ModelicaMLStateMachine»;
StateDependency;ControlFlow or Transition;«StateDependency»;
ExecutionOrderPriority;Transition or ControlFlow or Region;«ExecutionOrderPriority»;
StateTransitionSpecification;Transition;«StateTransitionSpecification»;
StateSpecification;State or StateMachine;«StateSpecification»;
AdditionalIncludes;StateMachine;«AdditionalIncludes»;
TypeRelation;Generalization;«TypeRelation»;
ExtendsRelation;Generalization;«ExtendsRelation»;
RedeclareRelation;Dependency;«RedeclareRelation»;
ConstrainedByRelation;Dependency;«ConstrainedByRelation»;
PartialDerivativeOfFunctionRelation;Dependency;«PartialDerivativeOfFunctionRelation»;
Import;Dependency;«Import»;
Requirement;Class;«Requirement»;
RequirementInstance;Property;«RequirementInstance»;
Traceability;NamedElement;«Traceability»;
Simulation;Class;«Simulation»;
UserInteractive;Property;«UserInteractive»;
ExcludeFromCGIfUserInteractive;StateMachine or OpaqueBehavior or Activity;«ExcludeFromCGIfUserInteractive»;
CodeGeneration;Element;«CodeGeneration»;
Annotation(Documentation);Comment;«Annotation(Documentation)»;
Annotation(CodeGeneration);Comment;«Annotation(CodeGeneration)»;
Annotation(SimulationExperiment);Comment;«Annotation(SimulationExperiment)»;
Annotation;Comment;«Annotation»;
Annotation(VersionHandling);Comment;«Annotation(VersionHandling)»;
Annotation(Icon);Comment;«Annotation(Icon)»;
TestSuite;Package;«TestSuite»;
TestScenario;Class;«TestScenario»;
UsedToVerify;Dependency;«UsedToVerify»;
Includes;Dependency;«Includes»;
Requires;Dependency;«Requires»;
Test;Class;«Test»;
RequiredFor;Dependency;«RequiredFor»;
ValueMediatorsContainer;Class;«ValueMediatorsContainer»;
ValueClient;Property;«ValueClient»;
ValueMediator;Property;«ValueMediator»;
ValueProvider;Property or State;«ValueProvider»;
ObtainsValueFrom;Dependency;«ObtainsValueFrom»;
ProvidesValueFor;Dependency;«ProvidesValueFor»;

